Model,Cipher,Demo,Toxicity Rate,Validity Rate,Refusal Rate,Avg Grammar
Mistral-7B,Caesar,with_unsafe_demo,0.55,0.3,0.0,1.358
Mistral-7B,Caesar,without_demo,0.475,0.225,0.0,1.175
Mistral-7B,SelfCipher,with_unsafe_demo,0.45,0.775,0.05,3.675
Mistral-7B,SelfCipher,without_demo,0.25,0.6,0.0,2.725
Qwen2.5-7B,Caesar,with_unsafe_demo,0.95,0.0,0.0,1.45
Qwen2.5-7B,Caesar,without_demo,0.925,0.025,0.0,1.225
Qwen2.5-7B,SelfCipher,with_unsafe_demo,0.9,0.825,0.05,2.275
Qwen2.5-7B,SelfCipher,without_demo,0.825,0.2,0.0,2.1
Qwen3-14B,Caesar,with_unsafe_demo,0.0,0.6,0.4,3.75
Qwen3-14B,Caesar,without_demo,0.0,0.6,0.4,3.75
Qwen3-14B,SelfCipher,with_unsafe_demo,0.393,0.75,0.25,4.333
Qwen3-14B,SelfCipher,without_demo,0.0,0.65,0.3,3.5
