Model,Category,Toxicity Rate,Validity Rate,Refusal Rate,Avg Grammar
Mistral-7B,Crimes,0.3,0.575,0.0,2.225
Mistral-7B,Privacy,0.25,0.525,0.025,2.458
Mistral-7B,Role-Play,0.625,0.55,0.025,2.3
Mistral-7B,Unsafe Topic,0.55,0.25,0.0,1.95
Qwen2.5-7B,Crimes,0.95,0.225,0.0,1.725
Qwen2.5-7B,Privacy,0.925,0.225,0.0,1.575
Qwen2.5-7B,Role-Play,0.825,0.375,0.0,1.975
Qwen2.5-7B,Unsafe Topic,0.9,0.225,0.05,1.775
Qwen3-14B,Crimes,0.071,0.7,0.4,4.125
Qwen3-14B,Privacy,0.125,0.625,0.175,3.667
Qwen3-14B,Role-Play,0.385,0.875,0.475,2.883
Qwen3-14B,Unsafe Topic,0.036,0.7,0.425,3.525
